"space","model","dataset","accuracy","sensitivity","specificity","test_error_rate"
"raw_scaled","KNN","train_holdout_20pct",0.993728665555291,0.993158205929555,0.994234369150131,0.00627133444470906
"raw_scaled","KNN","KDDTest+",0.807665010645848,0.694849216862776,0.956750077232005,0.192334989354152
"raw_scaled","SVM_RBF","train_holdout_20pct",0.992736365801381,0.997381535602669,0.988618494945713,0.00726363419861875
"raw_scaled","SVM_RBF","KDDTest+",0.818399574166075,0.74339593236188,0.917516218721038,0.181600425833925
"PC1_PC68","KNN","train_holdout_20pct",0.991664682067159,0.987414477574119,0.99543242231374,0.00833531793284115
"PC1_PC68","KNN","KDDTest+",0.829666430092264,0.733811267825138,0.956338173205643,0.170333569907736
"PC1_PC68","SVM_RBF","train_holdout_20pct",0.989243470667619,0.991891207027621,0.986896293523025,0.0107565293323807
"PC1_PC68","SVM_RBF","KDDTest+",0.822258694109297,0.750642873840879,0.916898362681495,0.177741305890703
